NUMBER	GENUS	ESPECIE	DETBY	DETDD	DETMM	DETYY	INFRAESPECIE	LONGITUDE_DG	LATITUDE_DG	COLDD	COLMM	COLYY	ALTITUDEmax	ALTITUDEmin	ALTITUDE_ALL	CF	DUPLICATE_old	FAMILY	FONTE_INFO	HABITAT_NOVO	HABITATNOTES	HABITO	DAP_NOVO	ALTURA_NOVO	SOLOTEXTURA	SOLOINUNDACAO	HERBARIUM_NOVO	INPA.TOMBAMENTO	NOTAS_ORIGINAL	ORIGINALESPECIMEN	Fertilidade	REPOSITORIO	ROWHERBARIUM	SOBRENOME	Type	VERNACULARNOME	COLLECTOR	COUNTRY_NOVO	MAJORAREA_NOVO	MINORAREA	GAZETTEER
1481	Ocotea	longifolia	van der Werff					-52.5333333333	-0.85	2	11	1986					urn:catalog:JBRJ:RB:134499	Lauraceae		Capoeira		árvore		10			INPA;MO;RB	149273	Àrv. 10m alt. árvore de 10m de altura. folhas simples, alternas, espatulada a lanceolado. 22x6cm, incl. pecl. perfeita, creme 1.5-2mm. inflorescencia racemos. floresta secundária contígua a floresta primária. árvore de 10m de altura. folhas simples, alternas, espatulada a lanceolado. 22x6cm, incl. pecl. perfeita, creme 1.5-2mm. inflorescência racemos. floresta secundária contígua a floresta primária. rrv. 10m alt.;Árvore de 10m de altura. Folhas simples, alternas, espatulada a lanceolado. 22x6cm, incl. pecl. perfeita, creme 1.5-2mm. Inflorescencia racemos. floresta secundária contígua a floresta primária.	45039	flor	gbif;inpa;mo;sl	134499|1502748|INPA00149273	Pires			Pires, João Murça	Brasil	AMAPA	Laranjal do Jari	Reserva Genética Do Jari
56D	Ocotea	longifolia	van der Werff	18				-59.966666667	-2.88333	18	5	1988						Lauraceae		Capoeira		árvore		5			INPA;L;MO;SP	177247	5m de altura. Frutos ainda verdes. árvore de 5m em capoeira, frutos ainda verdes;Árvore de 5m em capoeira, frutos ainda verdes	263392	fruto	gbif;inpa;mo;sl	1501468|612347|INPA00177247	Coelho			Coelho, D.	Brasil	AMAZONAS	Manaus	Reserva Florestal Adolpho Ducke
1826	Ocotea	glomerata						-36.3711	-8.14583	25	3	1989						Lauraceae		Capoeira		árvore					EAN		Árvore; flores brancas. Capoeiras e matas..Habitat: Terrestre		flor	sl		Félix			Félix, L.P.	Brasil	PERNAMBUCO	Brejo da Madre de Deus	Engenho Mangueira
19372	Ocotea	nitida	van der Werff	5	2	2008		-42.1392	-19.7897	5	10	1991						Lauraceae		Capoeira		árvore					BHCB;MO;SPSF		COLETA: XLS: SPSFAntigo&nf;Floresta secundária&nf;Árvore flores creme;		flor	gbif|mo|sl	1514713	Toledo			Toledo, F.R.	Brasil	MINAS GERAIS	Caratinga	Fazenda Macedônia
319	Ocotea	nitida	Baitello, J.B.	10	5	2000		-42.627222	-19.75	15	7	1993						Lauraceae	Linha-6122	Capoeira		árvore					SPSF		COLETA: Mata secundária.&nf;Árvore 3m; frutos verde escuros, cúpula avermelhada.; GEOGRAFIA: Beira da Lagoa Dom Helvétio.;		fruto	sl		Lombardi			Lombardi, J. A.	Brasil	MINAS GERAIS	Marliéria	Parque Estadual Do Rio Doce
553	Ocotea	longifolia	van der Werff	30	5	1994		-59.966667	-2.883333	30	5	1994					urn:catalog:JBRJ:RB:132515	Lauraceae		Capoeira		arvoreta	20	7			INPA;MO;RB;SP;NY	177305	Em frente a guarita. Arvoreta 7 m de altura, 20 cm DAP. Tronco circular de base acanalada. Espécie muito frequente e abundante na capoeira. Ritidoma esbranquiçado por líquens, verrucoso-rugoso. Lenticelas elípticas horizontais, pouco salientes	263393	fruto	gbif;inpa;mo;sl;ny	132515|1502272|INPA00177305	Vicentini			Vicentini, A.	Brasil	AMAZONAS	Manaus	Reserva Florestal Adolpho Ducke
599	Ocotea	longifolia	van der Werff					-59.966667	-2.883333	20	9	1994						Lauraceae		Capoeira		árvore	20	7			INPA;MO;SP	177258	Em frente a guarita. 7 m de altura, 20 cm DAP. Tronco circular de base acanalada. Espécie muito frequente e abundante na capoeira. Ritidoma esbranquiçado por líquens, verrucoso-rugoso. Lenticelas elípticas, horizontais, pouco salien em frente a guarita. 7 m de altura, 20 cm dap. tronco circular de base acanalada. espécie muito frequente e abundante na capoeira. ritidoma esbranquiçado por líquens, verrucoso-rugoso. lenticelas elípticas, horizontais, pouco salientes, espocadas, +/- agrupadas em linhas verticais. linhas transversais proeminentes, pouco salientes, as vezes perimetrais, dispersas. ao corte casca morta fina; casca viva bege-claro, porosa, odor forte de louro, de 4 mm. alburno bege-claro pouco contrastante com a casca. flores e botões amarelos. flores e botoes amarelos	263399	botões;flor	inpa;mo;sl	INPA00177258	Nascimento			Nascimento, J.R. do	Brasil	AMAZONAS	Manaus	Reserva Florestal Adolpho Ducke
3622012-3	Ocotea	glomerata	Rosa, N.A.	12	4	1997		-65.362163	-9.706231	20	12	1996						Lauraceae	Googleearth-maps	Capoeira		árvore		12.5			RON				flor	sl		Araújo			Araújo, J.	Brasil	RONDÔNIA	Porto Velho	Br364
U0228585	Ocotea	canaliculata	Chanderbali, A.	1	12	1999		-58.66667	5.33333	5	12	1996					U 0228585	Lauraceae		Capoeira	Roadside.						U					gbif	U 0228585	Chanderbali			Chanderbali, A.	Guyana	Upper Takutu-Upper Essequibo	Rest of Region 10	Mabura Hill
1600	Ocotea	glomerata	Assis, L.C.S.	17	2	2005		-54.8914	-11.5153	13	7	1997						Lauraceae		Capoeira		árvore		8			MBM		Beira de estrada, antropizada. Contato Savana Floresta/ Floresta Estacional/ Floresta Ombrófila. Arbóreo. Altura de 8,0m e com fruto imaturo verde.		flor;fruto	sl		Nave			Nave, A.G.	Brasil	MATO GROSSO	Cláudia	Fazenda Inês Maria
420	Ocotea	longifolia	Gomes, V.	12	1	2006		-38.6203	-3.98417	25	3	2000						Lauraceae		Capoeira		arbusto		1.5			EAC;HCDAL		Arbusto ca. 1-2m de altura; caules alados, folhas subcorláceas. arbusto.; floresta secundária		flor	sl		Sousa			Sousa, E.B.	Brasil	CEARÁ	Pacatuba	Serra Da Aratanha
695	Ocotea	glomerata	Lyra-Lemos, R.P.					-36.1756	-10.1256	29	8	2001						Lauraceae		Capoeira		árvore		4			MAC		Árvore ca. de 4m de altura. Botoes florais cremes e flores amarelas.HABITAT:Mata Atlântica secundária.;		botões;flor	sl		Bayma			Bayma, I.A.	Brasil	ALAGOAS	Coruripe	Usina Coruripe
2162	Ocotea	longifolia	Kinupp, V.F.		1	2002		-60.49505	-3.238214	24	1	2002						Lauraceae		Capoeira				2.5			INPA	210906		293871		inpa;sl	INPA00210906	Kinupp			Kinupp, V.F.	Brasil	AMAZONAS	Manacapuru	Estrada Manaus-manacapuru
