NUMBER	GENUS	ESPECIE	DETBY	DETDD	DETMM	DETYY	INFRAESPECIE	LONGITUDE_DG	LATITUDE_DG	COLDD	COLMM	COLYY	ALTITUDEmax	ALTITUDEmin	ALTITUDE_ALL	CF	DUPLICATE_old	FAMILY	FONTE_INFO	HABITAT_NOVO	HABITATNOTES	HABITO	DAP_NOVO	ALTURA_NOVO	SOLOTEXTURA	SOLOINUNDACAO	HERBARIUM_NOVO	INPA.TOMBAMENTO	NOTAS_ORIGINAL	ORIGINALESPECIMEN	Fertilidade	REPOSITORIO	ROWHERBARIUM	SOBRENOME	Type	VERNACULARNOME	COLLECTOR	COUNTRY_NOVO	MAJORAREA_NOVO	MINORAREA	GAZETTEER
51	Ocotea	glomerata	Santos, S.O.	14	9	2014		-37.726944	-12.048056	31	5	1995	15	15	15		urn:catalog:JBRJ:RB:133143|urn:catalog:JBRJ:RB:133333	Lauraceae				árvore		5			HST;HUEFS;JPB;MBM;RB		Arvore ca 5m de alt, botoes florais ferruginosos, arvore ca 5m de alt, botões florais ferruginosos, árvore ca. 5 m alt.; botoes florais ferruginosos. margem da floresta, árvores de grande porte e emaranhado de arbustos. árvore de aproximadamente 5,00m de altura; botoes florais ferruginosos. margem da floresta, árvores de grande porte e emaranhado de arbustos.&nf;floresta ombrófila aberta. 15m de altitude.; desc: árvore de aproximadamente 5,00m de altura; botoes florais fe árvore de aproximadamente 5m de altura. botoes florais ferruginosos. árvore de aproximadamente 5m de altura. botões florais ferruginosos. floresta ombrófita aberta		botões;flor	gbif;sl	133143|133333	Silva			Silva, L.N.	Brasil	BAHIA	Conde	Fazenda Do Bu
2316	Ocotea	aurantiodora	van der Werff			1984		-81.6938889	7.5044444	28	7	1962	60	20	60;20			Lauraceae									MO					mo		Dwyer			Dwyer, John	Panamá	Veraguas - Montijo	Gobernadora	Parque Nacional Coiba
2317	Ocotea	aurantiodora	van der Werff			1984		-81.6938889	7.5044444	28	7	1962	60	20	60;20			Lauraceae						20			MO		1st specimen: Tree, flowers cream. 2nd specimen: Shrub 20 ft. tall; flowers cream-colored.		flor	mo		Dwyer			Dwyer, John	Panamá	Veraguas - Montijo	Gobernadora	Parque Nacional Coiba
316	Ocotea	glomerata	Moraes, P.L.R. de	3	9	2010		-34.9775	-7.721389	3	9	2007	115	20	115;20			Lauraceae				árvore		4			HUEFS;JPB;UPCB		Árvore 4m, flores amarelas pálidas (cor de creme). Mata Atlântica. árvore, 4 m de altitude, flores amarelas pálidas (cor de creme); desc: árvore, 4 m de altitude, flores amarelas pálidas (cor de creme) mata atlântica.		flor	sl		Lins-e-Silva			Lins-e-Silva, A.C.B	Brasil	PERNAMBUCO	Itaquitinga	Usina São José
3432	Ocotea	longifolia	Moraes, P.L.R. de	7	12	2011		-39.959139	-19.187278	7	12	2011	33	20	33;20			Lauraceae									CVRD;HRCB					sl		Moraes			Moraes, P.L.R.	Brasil	ESPÍRITO SANTO	Linhares	Reserva Florestal Da Cvrd
30071	Ocotea	longifolia						-59.918418	-3.003764	13	10	1929	25	25	25			Lauraceae	Googleearth-maps								NY					sl		Killip			Killip, E.P.	Brasil	AMAZONAS	Manaus	Reserva Florestal Adolpho Ducke
8	Ocotea	glomerata	van der Werff					-35.0027778	-7.8388889	2	5	2001	25	25	25			Lauraceae									MO					mo;sl		Silva			Silva, H.C.H.	Brasil	PERNAMBUCO	Igarassu	Usina São José
MO3128649	Ocotea	glomerata	van der Werff	2				-35	-7.84	2	5	2001		25	25			Lauraceae									MO					gbif	MO3128649	Silva			Silva, H.C.H.	Brasil	PERNAMBUCO	Igarassu	Usina São José
27	Ocotea	glomerata	van der Werff	12				-35	-7.84	12	7	2001		25	25			Lauraceae									MO					mo;sl	3128648	Silva			Silva, H.C.H.	Brasil	PERNAMBUCO	Igarassu	Arredores Da Cidade
70	Ocotea	glomerata	van der Werff					-35	-7.84	24	10	2001		25	25			Lauraceae									MO					mo;sl		Silva			Silva, H.C.H.	Brasil	PERNAMBUCO	Igarassu	Usina São José
48	Ocotea	glomerata	van der Werff	15				-35.0027778	-7.8388889	15	3	2002	25	25	25			Lauraceae									MO					gbif;mo;sl	3127554	Freire			Freire, S.G.	Brasil	PERNAMBUCO	Igarassu	Usina São José
319	Ocotea	canaliculata		17				-35.196269	-8.041032	17	11	2010	58	35	58;35		urn:catalog:JBRJ:RB:682125	Lauraceae	Googleearth-maps			árvore		4.5			JPB;RB;UFRN;CEPEC		Árvore ca. de 4 a 5 m de altura; caule marrom-escuro, lenticelados; folhas coriáceras; fruto com cúpula que recobre cerca de metade do fruto. árvore cerca de 4 a 5 m de alt. caule marro-escuro, lenticelados. folhas coriáceas. frutos com cupula que recobre cerca de metade do fruto.		fruto	gbif;sl	682125	Santos			Santos, S.O.	Brasil	PERNAMBUCO	São Lourenço da Mata	Estação Ecológica De Tapacurá
320	Ocotea	canaliculata	Santos, S.O.					-35.196269	-8.041032	17	11	2010	58	35	58;35		urn:catalog:JBRJ:RB:682128	Lauraceae	Googleearth-maps			árvore		8.5			ASE;JPB;RB;UFRN;CEPEC		Árvore ca. de 8 a 9 m de altura; Córtex que sofre oxidaçao ficando avermelhado; frutos com a cúpula envolvendo cerca de metade do fruto. árvore ca. de 8 a 9 m de altura; córtex que sofre oxidação ficando avermelhado; frutos com a cúpula envolvendo cerca de metade do fruto. árvore cerca de 8 a 9 m de alt. córtex que sofre oxidaçao ficando avermelhado. frutos com a cúpula envolvendo cerca de metada do fruto. árvore cerca de 8 a 9 metros de altura; cortex que sofre oxidaçao ficando avermelhado; frutos com a cúpula envolvendo cerca de metade do fruto.; borda da trilha. ; ha		fruto	gbif;sl	682128	Santos			Santos, S.O.	Brasil	PERNAMBUCO	São Lourenço da Mata	Estação Ecológica De Tapacurá
3477	Ocotea	longifolia	Moraes, P.L.R. de			2012		-39.972611	-19.180111	10	7	2012	35	35	35			Lauraceae				árvore		10			CVRD;HRCB;MO;SPSF		Árvore, 10 m, frutos imaturos verde claros. coleta: árvore 10 m, frutos verdes.; geografia: municipal.;;Árvore, 10 m, frutos imaturos verde claros.		fruto	mo;sl		Moraes			Moraes, P.L.R.	Brasil	ESPÍRITO SANTO	Linhares	Estrada Da Boleira
3534	Ocotea	longifolia	Moraes, P.L.R. de	12	12	2012		-39.972611	-19.180111	12	12	2012	35	35	35			Lauraceae				árvore		17			CVRD;HRCB;MO;SPSF		Árvore 17 m, flores brancas. coleta: árvore 17 m, flores brancas.;		flor	mo;sl		Moraes			Moraes, P.L.R.	Brasil	ESPÍRITO SANTO	Linhares	Estrada Da Boleira
3549	Ocotea	longifolia	Moraes, P.L.R. de	18	12	2012		-39.972611	-19.180111	18	12	2012	35	35	35			Lauraceae									CVRD					sl		Moraes			Moraes, P.L.R.	Brasil	ESPÍRITO SANTO	Linhares	Estrada Da Boleira
324	Ocotea	glomerata	Santos, S.O.					-34.909381	-7.829186				37	37	37			Lauraceae				árvore		9			CEPEC		Ambiente: Mata. Na borda da mata. Habito: Árvore, c.a 9m.			sl		Santos			Santos, S.O.	Brasil	PERNAMBUCO	Igarassu	Usina São José
890	Ocotea	glomerata	van der Werff	14				-70.49	9.44	14	12	1994		40	40			Lauraceae									MO					gbif;mo	3138778	Licata			Licata, Angelina	Venezuela	Trujillo	Trujillo	Carretera Monay-la Vega Del Corozal
6877	Ocotea	longifolia	Moraes, P.L.R. de	8	7	2012		-39.8589	-18.7161	10	7	2012	40	40	40		urn:catalog:JBRJ:RB:877523	Lauraceae				árvore	21.6450722605	10			CVRD;RB		Terrestre, arbórea, fruto maduro e cor roxa, fruto imaturo de cor verde, exsudaçao incolor, descamaçao ausente, fuste cilíndrico, superfície das casca áspera, altura total 10m.altura do fuste 6m, cap fuste 68cm, diâmetro copa 5m, exsudaçao seiva. terrestre, arbórea, fruto maduro e cor roxa, fruto imaturo de cor verde, exsudação incolor, descamação ausente, fuste cilíndrico, superfície das casca áspera, altura total 10m.altura do fuste 6m, cap fuste 68cm, diâmetro copa 5m, exsudação seiva.;Terrestre, arbórea, fruto maduro e cor roxa, fruto imaturo de cor verde, exsudação incolor, descamação ausente, fuste cilíndrico, superfície das casca áspera, altura total 10m.altura do fuste 6m, cap fuste 68cm, diâmetro copa 5m, exsudação seiva.		fruto	gbif;sl	877523	Folli			Folli, D.A.	Brasil	ESPÍRITO SANTO	São Mateus	Br101
7249	Ocotea	nitida	Folli, D.A.	2	9	2014		-40.079167	-19.142222	2	9	2014	45	45	45			Lauraceae									CVRD;HUEFS					sl		Folli			Folli, D.A.	Brasil	ESPÍRITO SANTO	Sooretama	Reserva Florestal Da Cvrd
3643	Ocotea	glomerata						-34.863056	-7.115	1	1	1900	47	47	47			Lauraceae									JPB					sl		Agra			Agra, M.F.	Brasil	PARAÍBA	João Pessoa	Campus Da Ufpb
1356	Ocotea	canaliculata						-34.863056	-7.115	1	1	1900	47	47	47			Lauraceae									JPB					sl		Barbosa			Barbosa, M.R.	Brasil	PARAÍBA	João Pessoa	Costa Do Sol
1433	Ocotea	canaliculata						-34.863056	-7.115	1	1	1900	47	47	47			Lauraceae									JPB					sl		Barbosa			Barbosa, M.R.	Brasil	PARAÍBA	João Pessoa	Costa Do Sol
1449	Ocotea	glomerata						-34.863056	-7.115	1	1	1900	47	47	47			Lauraceae									JPB					sl		Barbosa			Barbosa, M.R.	Brasil	PARAÍBA	João Pessoa	Costa Do Sol
1453	Ocotea	canaliculata						-34.863056	-7.115	1	1	1900	47	47	47			Lauraceae									JPB					sl		Barbosa			Barbosa, M.R.	Brasil	PARAÍBA	João Pessoa	Costa Do Sol
JPB1868	Ocotea	glomerata						-34.863056	-7.115	1	1	1900	47	47	47			Lauraceae									JPB					sl		Coutinho			Coutinho, A.B.	Brasil	PARAÍBA	João Pessoa	Campus Da Ufpb
JPB6469	Ocotea	glomerata						-34.863056	-7.115	1	1	1900	47	47	47			Lauraceae									JPB					sl		Montenegro			Montenegro, N.F.	Brasil	PARAÍBA	João Pessoa	Campus Da Ufpb
JPB1499	Ocotea	glomerata						-34.863056	-7.115	1	1	1900	47	47	47			Lauraceae									JPB					sl		Xavier			Xavier, L.P.	Brasil	PARAÍBA	João Pessoa	Campus Da Ufpb
JPB4050	Ocotea	glomerata						-34.863056	-7.115	1	1	1900	47	47	47			Lauraceae									JPB					sl		Xavier			Xavier, L.P.	Brasil	PARAÍBA	João Pessoa	Campus Da Ufpb
14122	Ocotea	canaliculata	Moraes, P.L.R. de	26				-38.0417	-12.2631	26	5	1981	50	50	50			Lauraceae		Capoeira	Growing along road.	árvore	15	12			CEPEC;NY		Ambiente: Mata primaria, disturbada. Habito: Árvore, 12m X 15cm. tree, 12 m x 15 cm.;Ambiente: Mata primaria, disturbada. Habito: Árvore, 12m X 15cm.			gbif;ny;sl	886958	Mori			Mori, S.A.	Brasil	BAHIA	Itanagra	Rodovia Itanagra-subaúma
10066	Ocotea	longifolia	Vicentini, A.		12	1996		-55.8661	-1.76556	5	6	1980	50	50	50			Lauraceae		Floresta de terra firme				1.3			INPA	117467	Pole ca. 1.3 m. Receptacle and fruits green. Mata de terra firme.	29322	fruto	inpa;sl	INPA00117467	Davidson			Davidson, C.	Brasil	PARÁ	Oriximiná	Estrada Oriximiná-Óbidos
16280	Ocotea	glomerata	van der Werff					-62.2833333333	8.4666666667	28	3	1979	200	50	200;50			Lauraceae									MBM;MO		Término coleta 02.04.1979			mo;sl		Davidse			Davidse, G.	Venezuela	Delta Amacuro	Tucupita	Los Castillo De Guayana
16341	Ocotea	glomerata						-62.2833333333	8.4666666667	28	3	1979	200	50	200;50			Lauraceae									MO					mo		Davidse			Davidse, G.	Venezuela	Delta Amacuro	Tucupita	Los Castillo De Guayana
16358	Ocotea	glomerata						-62.2833333333	8.4666666667	28	3	1979	200	50	200;50			Lauraceae									MO					mo		Davidse			Davidse, G.	Venezuela	Delta Amacuro	Tucupita	Los Castillo De Guayana
156	Ocotea	canaliculata	Santos, S.O.		1	2010		-34.8705556	-7.1375	13	7	2010	50	50	50		urn:catalog:JBRJ:RB:682138	Lauraceae				árvore		6			EAC;JPB;RB;UFRN		Árvore com aprox. 6 m de altura, flores cremes, grande presença de formigas, casca acinzentada, copa ampla, folhas lustrosas. árvore de aprox. 6 m alt. flores cremes, grande presença de formigas, casca acinzentada, copa ampla. folhas lustrosas. árvore, ca. 6m; casca acinzentada, folha lustrosa, copa ampla; flor creme; grande presença de formigas. mata do buraquinho.borda da mata.; habitat: mata do buraquinho.borda da mata.		flor	gbif;sl	682138	Santos			Santos, S.O.	Brasil	PARAÍBA	João Pessoa	Campus Da Ufpb
13270	Ocotea	glomerata	Moraes, P.L.R. de	4	2	2014		-36.27138	-10.03583	4	11	2002	53	53	53			Lauraceae		Mata de Tabuleiro	Atlantic Coastal Rain Forest (Mata de Tabuleiro)	árvore		18			CEPEC;HST;MO;NY		Ambiente: Mata Atlântica Costeira (Mata de Tabuleiro). Habito: Árvore, 18m. tree, 18 m; fruit pale green; cupule dark olive tree, 18 m; fruit pale green; cupule dark olive.		fruto	gbif;mo;ny;sl	3141712|835896	Thomas			Thomas, W.	Brasil	ALAGOAS	Coruripe	Usina Coruripe
319	Ocotea	canaliculata	Santos, S.O.					-35.196215	-8.041027	17	11	2010	58	58	58			Lauraceae				árvore		4.5			CEPEC		Árvore ca. de 4 a 5 m de altura; caule marrom-escuro, lenticelados; folhas coriáceras; fruto com cúpula que recobre cerca de metade do fruto. árvore cerca de 4 a 5 m de alt. caule marro-escuro, lenticelados. folhas coriáceas. frutos com cupula que recobre cerca de metade do fruto.		fruto	gbif;sl	682125	Santos			Santos, S.O.	Brasil	PERNAMBUCO	São Lourenço da Mata	Estação Ecológica De Tapacurá
320	Ocotea	canaliculata	Santos, S.O.					-35.196215	-8.041027	17	11	2010	58	58	58			Lauraceae				árvore		8.5			CEPEC		Árvore ca. de 8 a 9 m de altura; Córtex que sofre oxidaçao ficando avermelhado; frutos com a cúpula envolvendo cerca de metade do fruto. árvore ca. de 8 a 9 m de altura; córtex que sofre oxidação ficando avermelhado; frutos com a cúpula envolvendo cerca de metade do fruto. árvore cerca de 8 a 9 m de alt. córtex que sofre oxidaçao ficando avermelhado. frutos com a cúpula envolvendo cerca de metada do fruto. árvore cerca de 8 a 9 metros de altura; cortex que sofre oxidaçao ficando avermelhado; frutos com a cúpula envolvendo cerca de metade do fruto.; borda da trilha. ; ha		fruto	gbif;sl	682128	Santos			Santos, S.O.	Brasil	PERNAMBUCO	São Lourenço da Mata	Estação Ecológica De Tapacurá
748	Ocotea	longifolia	van der Werff	5				-61.25	-1.75	5	9	1989	60	60	60			Lauraceae		Floresta de terra firme		árvore	20	15	argiloso		INPA;MO	173745	Tree 15 m, diam. 20 cm. Bark dark brown warty lenticls and looping pattern of fine ridges from trunk to twigs. Inner bark cream darkening to orange brown, faint aromatic smell. Wood white. Mature fruit black, red cupule. Terra firme tree 15 m, diam. 20 cm. bark dark brown warty lenticls and looping pattern of fine ridges from trunk to twigs. inner bark cream darkening to orange brown, faint aromatic smell. wood white. mature fruit black, red cupule. terra firme forest on yellow clay latosol.	29159	fruto	gbif;inpa;mo;sl	1502827|INPA00173745	Miller			Miller, Robert P.	Brasil	AMAZONAS	Novo Airão	Area Indigena Waimiri Atroari
10087	Ocotea	longifolia	Vicentini, A.	1	1	1996		-55.8661	-1.76556	9	6	1980	150	60	150;60			Lauraceae				árvore		2			INPA	117484	Pole-like tree 1.5-2.5m tall. Receptacle green, fruits light green. Pickled fruits & flowers. Trail on the way back from the campo. Lecythis - Coumarouma forest.	45044	flor;fruto	inpa;sl	INPA00117484	Davidson			Davidson, C.	Brasil	PARÁ	Oriximiná	Serras De Fe Em Deus E Preciosa
10101	Ocotea	longifolia	Vicentini, A.	1	1	1996		-55.8661	-1.76556	9	6	1980	150	60	150;60			Lauraceae				arbusto		2			INPA;NY	117493	Shrub ca. 2m tall. Receptacle dark green. Fruits light green. Flowers cream-white. Flowers in alcohol.	45045	flor;fruto	inpa;sl,ny	INPA00117493	Davidson			Davidson, C.	Brasil	PARÁ	Oriximiná	Arredores Da Cidade
7214	Ocotea	nitida	Folli, D.A.	20	5	2014		-40.079167	-19.142222	20	5	2014	60	60	60			Lauraceae									CVRD					sl		Folli			Folli, D.A.	Brasil	ESPÍRITO SANTO	Sooretama	Valão De São Lourenço
1166	Ocotea	canaliculata	van der Werff					-61.016389	1.486667				62	62	62			Lauraceae				árvore	37.2				CEPEC		Ambiente: Mata. Habito: Árvore, DAP 37,2cm.			sl		Perdiz			Perdiz, R.O.	Brasil	RORAIMA	Caracaraí	Parque Nacional Do Viruá
4558	Ocotea	longifolia	Moraes, P.L.R. de	22	8	2013		-49.973472	-3.022972	23	6	2008	77	77	77			Lauraceae				árvore		8			HRCB;IAC		Árvore ca. 8 m alt.; frutos em desenvolvimento. Indivíduo 75. coordenadas do material: 3°01-22,7s; 49°58-24,5w, indivíduo 75 (na ident. de pedro l. r. moraes consta que pode ser glomerata)		fruto	sl		Bernacci			Bernacci, L.C.	Brasil	PARÁ	Bagre	Fazenda Jataituba
1992	Ocotea	longifolia	van der Werff	1	1	1992		-73.79004	7.25015	1	11	1979		80	80		UIS:Herbario:1554	Lauraceae			Árbol de 10 m. fruto verde.	árvore		10			UIS					gbif	1554	Renteria		Lomo de babilla	Renteria, E.	Colombia	Santander	Puerto Wilches	Puente Sogamoso
1783	Ocotea	longifolia	Rohwer, J.G.		9	2011		-39.954167	-18.494444	26	9	1998	80	80	80			Lauraceae						14			MBML		Árvrore 14 m. Frutos verdes. Interior da mata.		fruto	sl		Assis			Assis, A.M.	Brasil	ESPÍRITO SANTO	Conceição da Barra	Rppn Sayonara
131672	Ocotea	glomerata	van der Werff	9				-67.08	6.28	9	9	1985		85	85			Lauraceae									MO					gbif;mo	1445911	Steyermark			Steyermark, J.A.	Venezuela	Bolívar	Cedeño	Rio Paragua
14059	Ocotea	longifolia		8	1	2009		-64.635	-9.635	8	1	2009	90	90	90			Lauraceae									CEN		Pétalas creme, anteras amarelada. Área de influencia direta (canteiro).		flor	sl		Pereira-Silva			Pereira-Silva, G.	Brasil	RONDÔNIA	Porto Velho	Mutúm-paraná
1427	Ocotea	longifolia	Moraes, P.L.R. de	20	8	2014		-64.516944	-9.283611	11	4	2012	91	91	91			Lauraceae				" Floresta perturbada próxima a igarapé. Solo argilo-arenoso com serrapilheira. Plano
Tipo de registro: espécime preservado "		4	Arenoso;argiloso		RON;INPA				fruto	sl;inpa	INPA 251175	Simon			Simon, M.F.	Brasil	RONDÔNIA	Porto Velho	Linha De Transmissão Jirau
2801	Ocotea	glomerata						-38.101389	-12.398333	16	3	2010	93	93	93			Lauraceae									HUEFS		Floresta ombrófila densa em regeneraçao.		flor	sl		Carvalho-Sobrinho			Carvalho-Sobrinho, J.G.	Brasil	BAHIA	Itanagra	Fazenda Pedra Do Sobrado
1335	Ocotea	longifolia		15	7	2011		-64.606944	-9.2613888	15	7	2011	96	96	96			Lauraceae				arvoreta					CEN		Arvoreta pouco ramificada 3m. Flores alvas.		flor	sl		Simon			Simon, M.F.	Brasil	RONDÔNIA	Porto Velho	Br364
3363	Ocotea	longifolia	Ramos, J.F.	12	3	2013		-57.071944	-5.454167	20	2	2013	96	96	96			Lauraceae				árvore	9.3	10			INPA		Árvore de 10m de altura; inflorescencia em panícula, com flores pequenas de cor amrelo claro, botoes florais amarelo esverdiado, coberto com pelos translucido.		botões;flor	sl		Amaral			Amaral, I.L. do	Brasil	PARÁ	Itaituba	Rio Tapajós-penedo
8066	Ocotea	longifolia	van der Werff	11				-73.39328	-3.553258	11	10	1985		100	100			Lauraceae	Googleearth-maps		terreno baja inundable	árvore		10		indundável	IBE;MO				estéril	gbif;mo	1502759	Rimachi-Y.			Rimachi-Y., Manuel	Perú	Loreto - Maynas	Punchana	Rio Momón
14512	Ocotea	longifolia	van der Werff	28				-64.6788888889	5.47	28	6	1975		100	100			Lauraceae						10			MO;F		Tree 10 m, flowers cream.		flor	gbif;mo;f	1504990	Gentry			Gentry, A.	Venezuela	Bolívar	Sucre	Puerto Ayacucho-samariapo
130	Ocotea	longifolia	Baitello, J.B.	23	9	1986		-45.75	-2.916667	1	12	1978	100	100	100			Lauraceae			Floresta.	arbusto		6			NY;UEC		Arbusto de 6 m de altura. arbusto de 6 m. de altura.			ny;sl	918492	Jangoux			Jangoux, Jacques	Brasil	MARANHÃO	Nova Olinda do Maranhão	Rio Alto Turiaçu
12765	Ocotea	nitida	Moraes, P.L.R. de	25	2	2009		-39.0147	-14.1031	25	8	1979	100	100	100		urn:catalog:JBRJ:RB:132159	Lauraceae				árvore	30	25			CEPEC;NY;RB		Ambiente: Mata. Habito: Árvore, 25m X 30cm. árvire, 25m x 30 cm arvore, 25 m x 30 cm			gbif|ny|sl	132159|539623	Mori			Mori, S.A.	Brasil	BAHIA	Maraú	Fazenda Água Boa
COL218028	Ocotea	longifolia		30				-73.7843	7.2497	30	1	1980		100	100		4453218	Lauraceae									COL					gbif	COL218028	Renteria			Renteria, E.	Colombia	Santander	Puerto Wilches	Puente Sogamoso
940	Ocotea	longifolia	van der Werff	19				-70.142592	-3.4357	19	4	1986	200	100	200;100			Lauraceae	Googleearth-maps								MO					gbif;mo	1503218	Galeano			Galeano, Gloria A.	Colombia	Amazonas	Leticia	Pnn Amacayacu
13616	Ocotea	glomerata	Rohwer, J.G.			1990		-65.89	6.15	31	3	1991	180	100	180;100			Lauraceae									MO;PORT					gbif;mo	1445527|3137348|3140450|3140796	Stergios			Stergios, B.	Venezuela	Bolívar	Cedeño	Serrania De Maigualida
4789	Ocotea	longifolia	Prieto, A.			1995		-70	-3.03333	6	7	1992		100	100		31322	Lauraceae					30.4	14			IAvH;MO				estéril	gbif;mo	792188|FMB-31322	Rudas			Rudas, A.	Colombia	Amazonas	Tarapacá	Pnn Amacayacu
5177	Ocotea	longifolia	Vargas, William	28	2	2006		-70	-3.03333	13	7	1992		100	100		50485	Lauraceae									IAvH;MO					gbif;mo	49618|FMB-50485	Rudas			Rudas, A.	Colombia	Amazonas	Tarapacá	Tarapacá
509	Ocotea	aurantiodora	van der Werff			1996		-81.73194	7.625	11	3	1996	100	100	100			Lauraceae					12	8			MO;PMA		Arbol de 8.0 m de alto. Ramificado basalmente. DAP de 12.0 cm. Tronco de corteza gris. Ramificaciones cuando jóvenes puberulentas y anguladas. Hojas discolor y brillantes en el haz. Cuando jóvenes pubescentes. Inrutescencias axilares, agrupadas hacia las partes apicales de las ramas. Frutos verdes, internamente los cotiledones morados. Cáliz verde. La planta tiene un fuerte olor a alcanfor.		fruto	mo		Espinosa			Espinosa, A.	Panamá	Veraguas - Montijo	Gobernadora	Parque Nacional Coiba
763	Ocotea	longifolia	van der Werff	25				-72.32	-0.83	25	2	1997	200	100	200;100			Lauraceae									HUA;MO					mo;gbif		Arbelaez			Arbelaez, M.V.	Colombia	Amazonas	Puerto Santander	Araracuara
	Ocotea	canaliculata						-39.133333	-16.333333		5	2010	100	100	100			Lauraceae									CEPEC		Floresta Ombrófila Densa		flor	sl		Carvalho			Carvalho, G. M.	Brasil	BAHIA	Santa Cruz Cabrália	Rppn Estaçao Veracel
15605	Ocotea	longifolia		12	8	2010		-64.611944	-9.2572222	12	8	2010	100	100	100			Lauraceae									CEN		Área de influencia direta (canteiro).		flor	sl		Pereira-Silva			Pereira-Silva, G.	Brasil	RONDÔNIA	Porto Velho	Br364
1186	Ocotea	longifolia		25	3	2011		-64.479722	-9.2741666	25	3	2011	100	100	100			Lauraceae				erva					CEN		Flores alvas. Floresta preservada, dossel médio 20m.		flor	sl		Simon			Simon, M.F.	Brasil	RONDÔNIA	Porto Velho	Br364
3388	Ocotea	longifolia		17	7	2011		-64.575555	-9.2847222	17	7	2011	102	102	102			Lauraceae									CEN		Cálice verde.			sl		Amaral-Santos			Amaral-Santos, A.	Brasil	RONDÔNIA	Porto Velho	Br364
3321	Ocotea	longifolia		24	5	2011		-64.770833	-9.4611111	24	5	2011	105	105	105			Lauraceae									CEN		Botoes florais creme. Área de influencia direta da UHE Jirau.		botões;flor	sl		Amaral-Santos			Amaral-Santos, A.	Brasil	RONDÔNIA	Porto Velho	Fazenda Santa Clara
MO50864	Ocotea	longifolia	van der Werff	14				-72.83	-3.47	14	5	1989		106	106			Lauraceae									MO					gbif	MO50864	Vásquez			Vásquez, R.	Perú	Loreto - Maynas	Indiana	Rio Javari
517	Ocotea	longifolia		21	10	2011		-64.547777	-9.2786111	21	10	2011	108	108	108			Lauraceae				árvore			argiloso		CEN		Tronco com a base reta. Casca externa cinza. Ramos jovens com quinas.			sl		Gomes			Gomes, Beatriz	Brasil	RONDÔNIA	Porto Velho	Mutúm-paraná
335	Ocotea	canaliculata	Santos, S.O.	1	1	2011		-34.991667	-7.731111	21	3	2011	108	108	108			Lauraceae				árvore		10			EAC;JPB;UFRN		Árvore com 10 m alt. Folhas coriáceas. Flores cremes, com tépalas eretas. árvore, 10m; folha coriácea; flor creme com tépala eretas. mata de cruzinha.interior da mata; habitat: mata de cruzinha.interior da mata		flor	sl		Santos			Santos, S.O.	Brasil	PERNAMBUCO	Itaquitinga	Usina São José
335	Ocotea	canaliculata	Santos, S.O.					-34.991667	-7.731111				108	108	108			Lauraceae				árvore		10			CEPEC		Ambiente: Mata. Interiro da mata. Habito: Árvore, 10m.			sl		Santos			Santos, S.O.	Brasil	PERNAMBUCO	Itaquitinga	Engenho Camocim
3472	Ocotea	longifolia	Moraes, P.L.R. de	26	8	2014		-64.180833	-9.162222	26	7	2011	109	109	109			Lauraceae				árvore		16			CEN;INPA		Árvore com 16 m de altura. cálice verde.			sl		Amaral-Santos			Amaral-Santos, A.	Brasil	RONDÔNIA	Porto Velho	Br364
107	Ocotea	glomerata	Cardoso, R.B.	1	1	2002		-35.0028	-7.8389				110	110	110			Lauraceae		Floresta de terra firme	Interior plano. Floresta ombrófila densa das terras baixas				arenoso;argiloso		NY		Cheiro forte na casca e folhas. Verdes discolores. Botoes amarelos. Ausentes		botões	ny;sl	777800	Silva			Silva, H.C.H.	Brasil	PERNAMBUCO	Igarassu	Usina São José
2452	Ocotea	longifolia	van der Werff			2011		-39.3342	-15.4294	16	6	1988	110	110	110		urn:catalog:JBRJ:RB:132172	Lauraceae				árvore		5			HUEFS;MBML;RB		Árvore 5m de altura, flores em botoes cremes, coleta de folhas para análises, nome vulgar: louro. árvore, 5 m de altura. flores em botoes cremes. coleta de folhas para análises. árvore, 5 m de altura. flores em botões cremes. coleta de folhas para análises.		botões;flor	gbif;sl	132172	Mattos-Silva			Mattos-Silva, L.A.	Brasil	BAHIA	Santa Luzia	Ba270
15618	Ocotea	longifolia	Vargas, William	28	2	2006		-70.25	-3.78333	28	10	1991	120	110	120;110		23825	Lauraceae									IAvH;MO				fruto	gbif;mo	FMB-23825	Pipoly			Pipoly, J.J.	Colombia	Amazonas	Leticia	Puerto Santander
154	Ocotea	longifolia						-72.40555	-3.69166	13	3	2002		110	110			Lauraceae									MO					gbif;mo	2331384	Choo			Choo, Johanna	Perú	Loreto - Maynas	Las Amazonas	Reserva Paucarillo
4634	Ocotea	canaliculata	van der Werff	21				-52.92	5.01666667	21	10	2002		110	110			Lauraceae									MO					gbif;mo	3140649	Prevost			Prévost, M. F.	French Guiana	Cayenne	Kourou	Village Arawak Sainte-rose-de-lima
16341	Ocotea	longifolia		20	8	2012		-64.48	-9.2705555	20	8	2012	110	110	110			Lauraceae									CEN		Linha de transmissao Jirau/Sts Antonio.			sl		Pereira-Silva			Pereira-Silva, G.	Brasil	RONDÔNIA	Porto Velho	Br364
